chain_name,seed_id,message_id,transcription_survey_name,text,n,is_english
zipper,46,90,first-gen-partial-1,mnh,1,0
zipper,46,90,first-gen-partial-1,mnph,1,0
zipper,46,90,first-gen-partial-1,nuh,1,0
zipper,46,90,first-gen-partial-1,ump,1,1
zipper,46,90,first-gen-partial-1,uruuuh,1,0
zipper,46,512,remaining-proximal-and-distal-1,izoo,5,0
zipper,46,512,remaining-proximal-and-distal-1,ehzoo,2,0
zipper,46,512,remaining-proximal-and-distal-1,izzoo,2,0
zipper,46,512,remaining-proximal-and-distal-1,annoyify,1,0
zipper,46,512,remaining-proximal-and-distal-1,azuh,1,0
zipper,46,512,remaining-proximal-and-distal-1,eh-zoo,1,0
zipper,46,512,remaining-proximal-and-distal-1,ehzuh,1,0
zipper,46,512,remaining-proximal-and-distal-1,ezoh,1,0
zipper,46,512,remaining-proximal-and-distal-1,ezoou,1,0
zipper,46,512,remaining-proximal-and-distal-1,ezzzuuuh,1,0
zipper,46,512,remaining-proximal-and-distal-1,ihzoo,1,0
zipper,46,512,remaining-proximal-and-distal-1,iizuu,1,0
zipper,46,512,remaining-proximal-and-distal-1,izu,1,0
zipper,46,512,remaining-proximal-and-distal-1,izzle,1,0
zipper,46,512,remaining-proximal-and-distal-1,izzo,1,0
zipper,46,517,remaining-proximal-and-distal-1,peeshpeesh,2,0
zipper,46,517,remaining-proximal-and-distal-1,pshh pshh,2,0
zipper,46,517,remaining-proximal-and-distal-1,pshpsh,2,0
zipper,46,517,remaining-proximal-and-distal-1,ch...ch,1,0
zipper,46,517,remaining-proximal-and-distal-1,chish,1,0
zipper,46,517,remaining-proximal-and-distal-1,p,1,1
zipper,46,517,remaining-proximal-and-distal-1,pashhhh-pshhhh,1,0
zipper,46,517,remaining-proximal-and-distal-1,pffpfew,1,0
zipper,46,517,remaining-proximal-and-distal-1,phishphishue,1,0
zipper,46,517,remaining-proximal-and-distal-1,phlishphlish,1,0
zipper,46,517,remaining-proximal-and-distal-1,psh,1,0
zipper,46,517,remaining-proximal-and-distal-1,pshsh,1,0
zipper,46,517,remaining-proximal-and-distal-1,pssh pssh,1,0
zipper,46,517,remaining-proximal-and-distal-1,pssh-pssh,1,0
zipper,46,517,remaining-proximal-and-distal-1,psshpssh,1,0
zipper,46,517,remaining-proximal-and-distal-1,psssh-psssh,1,0
zipper,46,517,remaining-proximal-and-distal-1,psssshh,1,0
zipper,46,517,remaining-proximal-and-distal-1,pssssshpssshhh,1,0
zipper,46,517,remaining-proximal-and-distal-1,spshspsh,1,0
zipper,46,517,remaining-proximal-and-distal-1,toowtoow,1,0
zipper,46,517,remaining-proximal-and-distal-1,tschhtschh,1,0
zipper,46,565,remaining-proximal-and-distal-1,abroad,1,1
zipper,46,565,remaining-proximal-and-distal-1,aoh,1,0
zipper,46,565,remaining-proximal-and-distal-1,araga,1,0
zipper,46,565,remaining-proximal-and-distal-1,araugh,1,0
zipper,46,565,remaining-proximal-and-distal-1,aroah,1,0
zipper,46,565,remaining-proximal-and-distal-1,aroo,1,0
zipper,46,565,remaining-proximal-and-distal-1,awrawahl,1,0
zipper,46,565,remaining-proximal-and-distal-1,badarawba,1,0
zipper,46,565,remaining-proximal-and-distal-1,crowl,1,0
zipper,46,565,remaining-proximal-and-distal-1,erroll,1,0
zipper,46,565,remaining-proximal-and-distal-1,o-o-oh,1,0
zipper,46,565,remaining-proximal-and-distal-1,ohhhhooooo,1,0
zipper,46,565,remaining-proximal-and-distal-1,ooh,1,1
zipper,46,565,remaining-proximal-and-distal-1,orawlll,1,0
zipper,46,565,remaining-proximal-and-distal-1,roa,1,0
zipper,46,565,remaining-proximal-and-distal-1,roah,1,0
zipper,46,565,remaining-proximal-and-distal-1,rowall,1,0
zipper,46,565,remaining-proximal-and-distal-1,rrroll,1,0
zipper,46,565,remaining-proximal-and-distal-1,tkarrrroooootk,1,0
zipper,46,565,remaining-proximal-and-distal-1,ur-rurl,1,0
zipper,47,47,hand picked 1 seeds,zip,4,1
zipper,47,47,hand picked 1 seeds,breep,1,0
zipper,47,47,hand picked 1 seeds,brrip,1,0
zipper,47,47,hand picked 1 seeds,fizzim,1,0
zipper,47,47,hand picked 1 seeds,growwff,1,0
zipper,47,47,hand picked 1 seeds,grunt,1,1
zipper,47,47,hand picked 1 seeds,przzzzzt,1,0
zipper,47,47,hand picked 1 seeds,rip,1,1
zipper,47,47,hand picked 1 seeds,rrrzip,1,0
zipper,47,47,hand picked 1 seeds,vritt,1,0
zipper,47,47,hand picked 1 seeds,vrri,1,0
zipper,47,47,hand picked 1 seeds,whuup,1,0
zipper,47,47,hand picked 1 seeds,wreep,1,0
zipper,47,47,hand picked 1 seeds,zhrip,1,0
zipper,47,47,hand picked 1 seeds,zipping,1,1
zipper,47,47,hand picked 1 seeds,zwip,1,0
